['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer']	['5-Hydroxymethylcytosine profiles are prognostic of outcome in neuroblastoma and reveal transcriptional networks that correlate with tumor phenotype']	['JCO Precision Oncology']	['3']	[]	[]	['2019']	['\n4\n']
['5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer']	['Super “STAR” in translational medicine: Current status and prospects of exosome-related diagnosis and treatment technologies']	['Academic Journal of Second Military Medical University']	['39']	['(7)']	[',0258-879X(2018)07-0697-07']	['2018']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Sex-Dependent RNA Editing and N6-adenosine RNA Methylation Profiling in the Gonads of a Fish, the Olive Flounder (Paralichthys olivaceus)']	['Frontiers in Cell and Developmental Biology']	['8']	[',751']	[]	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Unraveling the RNA modification code with mass spectrometry']	['Molecular Omics']	['16']	['(4)']	[',\npp.\n305-315\n']	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Structural and Virus Regulatory Insights Into Avian N6-Methyladenosine (m6A) Machinery']	['Frontiers in Cell and Developmental Biology']	['8']	[',543']	[]	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['VIRMA-dependent N6-methyladenosine modifications regulate the expression of long non-coding RNAs CCAT1 and CCAT2 in prostate cancer']	['Cancers']	['12']	['(4)']	[',771']	['2020']	['\n3\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Research advances in role of m', 'A methylation modification in hematological malignancies | [m', 'A甲基化修饰在血液系统恶性肿瘤中的作用研究进展]']	['Journal of Shanghai Jiaotong University (Medical Science)']	['40']	['(3)']	[',\npp.\n396-401\n']	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Profiles of m', 'A RNA methylation regulators for the prognosis of hepatocellular carcinoma']	['Oncology Letters']	['19']	['(4)']	[',\npp.\n3296-3306\n']	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Function and evolution of rna n6-methyladenosine modification']	['International Journal of Biological Sciences']	['16']	['(11)']	[',\npp.\n1929-1940\n']	['2020']	['\n1\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['N', '-methyladenosine (m', 'A) RNA modification in human cancer']	['Cell Proliferation']	[]	[]	[]	['2020']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['N', '-methyladenosine could indirectly modulate translation in human cancer cells via cis-elements']	['Translational Cancer Research']	['8']	[',\npp.\n1931-1938\n']	[]	['2019']	['\n1\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Bisubstrate analogues as structural tools to investigate m ', ' A methyltransferase active sites']	['RNA Biology']	['16']	['(6)']	[',\npp.\n798-808\n']	['2019']	['\n6\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['METTL3 inhibits BMSC adipogenic differentiation by targeting the JAK1/STAT5/C/EBPβ pathway via an m', 'A-YTHDF2–dependent manner']	['FASEB Journal']	['33']	['(6)']	[',\npp.\n7529-7544\n']	['2019']	['\n21\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Regulation of Virus Replication and T Cell Homeostasis by N ', ' -Methyladenosine']	['Virologica Sinica']	['34']	['(1)']	[',\npp.\n22-29\n']	['2019']	['\n2\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Differential m6A methylomes between two major life stages allows potential regulations in Trypanosoma brucei']	['Biochemical and Biophysical Research Communications']	['508']	['(4)']	[',\npp.\n1286-1290\n']	['2019']	['\n2\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Screening of differential expressed genes from gene chip and sequencing data and evaluate its prognostic values in males with digestive system neoplasms']	['Translational Cancer Research']	['8']	['(6)']	[',\npp.\n2339-2349\n']	['2019']	[]
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Modulation of bacterial sRNAs activity by epigenetic modifications: Inputs from the eukaryotic miRNAs']	['Genes']	['10']	['(1)']	[',22']	['2019']	['\n2\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['The emerging role of epitranscriptomics in cancer: Focus on urological tumors']	['Genes']	['9']	['(11)']	[',552']	['2018']	['\n17\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['METTL3-mediated N ', '-methyladenosine mRNA modification enhances long-term memory consolidation']	['Cell Research']	['28']	['(11)']	[',\npp.\n1050-1061\n']	['2018']	['\n26\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['N6-methyladenosine RNA modification in cancer therapeutic resistance: Current status and perspectives']	['Biochemical Pharmacology']	['182']	[',114258']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Principles of RNA methylation and their implications for biology and medicine']	['Biomedicine and Pharmacotherapy']	['131']	[',110731']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['New Insights on the Role of N', '-Methyladenosine RNA Methylation in the Physiology and Pathology of the Nervous System']	['Frontiers in Molecular Biosciences']	['7']	[',555372']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['m', 'A Reader: Epitranscriptome Target Prediction and Functional Characterization of N', '-Methyladenosine (m', 'A) Readers']	['Frontiers in Cell and Developmental Biology']	['8']	[',741']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Roles of N6-Methyladenosine (m', 'A) in Stem Cell Fate Decisions and Early Embryonic Development in Mammals']	['Frontiers in Cell and Developmental Biology']	['8']	[',782']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Epigenetic regulation of cortical neurogenesis; orchestrating fate switches at the right time and place']	['Current Opinion in Neurobiology']	['63']	[',\npp.\n146-153']	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Circular RNA expression alteration in whole blood of premature infants with periventricular white matter damage']	['Genomics']	['112']	['(4)']	[',\npp.\n2875-2885\n']	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['YTHDF2 destabilizes m', 'A-modified neural-specific RNAs to restrain differentiation in induced pluripotent stem cells']	['RNA']	['26']	['(6)']	[',\npp.\n739-755\n']	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Early-life m', 'A RNA demethylation by fat mass and obesity-associated protein (Fto) influences resilience or vulnerability to heat stress later in life']	['eNeuro']	['7']	['(3)']	[',ENEURO.0549-19.2020']	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Expression and prognostic significance of m6A-related genes in lung adenocarcinoma']	['Medical Science Monitor']	['26']	[',e919644']	[]	['2020']	['\n4\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Dynamic N6-methyladenosine RNA methylation in brain and diseases']	['Epigenomics']	['12']	['(4)']	[',\npp.\n371-380\n']	['2020']	['\n1\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Invited Review: Epigenetics in neurodevelopment']	['Neuropathology and Applied Neurobiology']	['46']	['(1)']	[',\npp.\n6-27\n']	['2020']	['\n2\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Epitranscriptomic regulation by m', 'A RNA methylation in brain development and diseases']	['Journal of Cerebral Blood Flow and Metabolism']	[]	[]	[]	['2020']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['N', '-Methyladenosine: A Novel RNA Imprint in Human Cancer']	['Frontiers in Oncology']	['9']	[',1407']	[]	['2019']	['\n5\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	["Effect of enhancer of zeste homolog 2 on the expression of glial cell line-derived neurotrophic factor family receptor α-1 in the colon tissue of children with Hirschsprung's disease"]	['Chinese Journal of Contemporary Pediatrics']	['21']	['(10)']	[',\npp.\n1033-1037\n']	['2019']	[]
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Small changes, big implications: The impact of m', 'A RNA methylation on gene expression in pluripotency and development']	['Biochimica et Biophysica Acta - Gene Regulatory Mechanisms']	['1862']	['(9)']	[',194402']	['2019']	['\n6\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Gut-brain axis: A matter of concern in neuropsychiatric disorders…!']	['Progress in Neuro-Psychopharmacology and Biological Psychiatry']	['104']	[',110051']	[]	['2021']	['\n1\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['The Role of Probiotics in the Prevention and Treatment of Atopic Dermatitis in Children: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials']	['Pediatric Drugs']	['22']	['(5)']	[',\npp.\n535-549\n']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Human microbiome: an academic update on human body site specific surveillance and its possible role']	['Archives of Microbiology']	['202']	['(8)']	[',\npp.\n2147-2167\n']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Synbiotic effect of bifidobacterium lactis CNCM i-3446 and bovine milk-derived oligosaccharides on infant gut microbiota']	['Nutrients']	['12']	['(8)']	[',2268']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Differences in the gut Firmicutes to Bacteroidetes ratio across age groups in healthy Ukrainian population']	['BMC Microbiology']	['20']	['(1)']	[',221']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Human Gut Microbiome Aging Clock Based on Taxonomic Profiling and Deep Learning']	['iScience']	['23']	['(6)']	[',101199']	['2020']	['\n3\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['The role of gut microbiota in selected neuropsychiatric disorders']	['Archives of Psychiatry and Psychotherapy']	['22']	['(2)']	[',\npp.\n36-44\n']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Gut Dysbiosis Thwarts the Efficacy of Vaccine Against Mycobacterium tuberculosis']	['Frontiers in Immunology']	['11']	[',726']	[]	['2020']	['\n1\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Dynamic distribution of gut microbiota in meat rabbits at different growth stages and relationship with average daily gain (ADG)']	['BMC Microbiology']	['20']	['(1)']	[',116']	['2020']	['\n1\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['The early life microbiota protects neonatal mice from pathological small intestinal epithelial cell shedding']	['FASEB Journal']	['34']	['(5)']	[',\npp.\n7075-7088\n']	['2020']	['\n1\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	["Prenatal and postnatal determinants in shaping offspring's microbiome in the first 1000 days: Study protocol and preliminary results at one month of life"]	['Italian Journal of Pediatrics']	['46']	['(1)']	[',45']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Domestic foal weaning: Need for re-thinking breeding practices?']	['Animals']	['10']	['(2)']	[',361']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Datenlage und Hypothesen | [Darmmikrobiom bei primären Hirntumoren]']	['Nervenheilkunde']	['39']	['(1-2)']	[',\npp.\n31-41\n']	['2020']	[]
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Recent advances in modulating the microbiome']	['F1000Research']	['9']	[',46']	[]	['2020']	['\n1\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['The connection between microbiome and schizophrenia']	['Neuroscience and Biobehavioral Reviews']	['108']	[',\npp.\n712-731\n']	[]	['2020']	['\n2\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Yeast Ppz1 protein phosphatase toxicity involves the alteration of multiple cellular targets']	['Scientific Reports']	['10']	['(1)']	[',15613']	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Post-translational modifications of the Fragile X Mental Retardation Protein in neuronal function and dysfunction']	['Molecular Psychiatry']	['25']	['(8)']	[',\npp.\n1688-1703\n']	['2020']	['\n1\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Crystal-C: A Computational Tool for Refinement of Open Search Results']	['Journal of Proteome Research']	['19']	['(6)']	[',\npp.\n2511-2515\n']	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Do post-translational modifications influence protein aggregation in neurodegenerative diseases: A systematic review']	['Brain Sciences']	['10']	['(4)']	[',232']	['2020']	['\n4\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['The Promise of Nanopore Technology: Advances in the Discrimination of Protein Sequences and Chemical Modifications']	['Small Methods']	[]	[]	[]	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Recent insights into Histone Acetyltransferase-1: biological function and involvement in pathogenesis']	['Epigenetics']	[]	[]	[]	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Defining decreased protein succinylation of failing human cardiac myofibrils in ischemic cardiomyopathy']	['Journal of Molecular and Cellular Cardiology']	['138']	[',\npp.\n304-317\n']	[]	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Computational methods and next-generation sequencing approaches to analyze epigenetics data: Profiling of methods and applications']	['Methods']	[]	[]	[]	['2020']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Drug discovery researches on modulators of lysine-modifying enzymes based on strategic chemistry approaches']	['Chemical and Pharmaceutical Bulletin']	['68']	['(1)']	[',\npp.\n34-45\n']	['2020']	['\n1\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Proteome-Wide Identification of Lysine Propionylation in the Conidial and Mycelial Stages of Trichophyton rubrum']	['Frontiers in Microbiology']	['10']	[',2613']	[]	['2019']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Advances of Proteomics in Novel PTM Discovery: Applications in Cancer Therapy']	['Small Methods']	['3']	['(5)']	[',1900041']	['2019']	['\n3\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Visualization and Analysis of Epiproteome Dynamics']	['Journal of Molecular Biology']	['431']	['(8)']	[',\npp.\n1519-1539\n']	['2019']	['\n4\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['The phosphorylation of the N protein could affect PRRSV virulence in vivo']	['Veterinary Microbiology']	['231']	[',\npp.\n226-231\n']	[]	['2019']	['\n2\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Quantitation of active alpha-2-macroglobulin by trypsin protease zymography']	['Journal of the Serbian Chemical Society']	['84']	['(9)']	[',\npp.\n943-950\n']	['2019']	[]
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Main strategies for the identification of neoantigens']	['Cancers']	['12']	['(10)']	[',2879']	['2020']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['The landscape of tumor-specific antigens in colorectal cancer']	['Vaccines']	['8']	['(3)']	[',371']	['2020']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Characterization of Neoantigen Load Subgroups in Gynecologic and Breast Cancers']	['Frontiers in Bioengineering and Biotechnology']	['8']	[',702']	[]	['2020']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Shared neoantigens: Ideal targets for off-the-shelf cancer immunotherapy']	['Pharmacogenomics']	['21']	['(9)']	[',\npp.\n637-645\n']	['2020']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Integration of Omics Data Sources to Inform Mechanistic Modeling of Immune-Oncology Therapies: A Tutorial for Clinical Pharmacologists']	['Clinical Pharmacology and Therapeutics']	['107']	['(4)']	[',\npp.\n858-870\n']	['2020']	['\n3\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Immunologic and immunogenomic aspects of tumor progression']	['Seminars in Cancer Biology']	['60']	[',\npp.\n249-261\n']	[]	['2020']	['\n3\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Identification and ranking of recurrent neo-epitopes in cancer']	['BMC Medical Genomics']	['12']	['(1)']	[',171']	['2019']	['\n1\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Machine Learning for Cancer Immunotherapies Based on Epitope Recognition by T Cell Receptors']	['Frontiers in Genetics']	['10']	[',1141']	[]	['2019']	['\n1\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['DeepHLApan: A Deep Learning Approach for Neoantigen Prediction Considering Both HLA-Peptide Binding and Immunogenicity']	['Frontiers in Immunology']	['10']	[',2559']	[]	['2019']	['\n7\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['ARL3 is downregulated and acts as a prognostic biomarker in glioma']	['Journal of Translational Medicine']	['17']	['(1)']	[',210']	['2019']	['\n8\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Advances in neoantigens and tumor immunotherapy']	['Tumor']	['39']	['(4)']	[',1000-7431 (2019) 04-0312-05']	['2019']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Mutation-derived neoantigens for cancer immunotherapy']	['Frontiers in Immunology']	['10']	['(AUG)']	[',1856']	['2019']	['\n9\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Neoantigens Derived from Recurrently Mutated Genes as Potential Immunotherapy Targets for Gastric Cancer']	['BioMed Research International']	['2019']	[',8103142']	[]	['2019']	['\n9\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['A Immunogenomic aspects of tumor progression | [A tumorprogresszió immungenomikai aspektusai]']	['Magyar Onkologia']	['63']	['(3)']	[',\npp.\n173-182\n']	['2019']	[]
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Background-suppressed live visualization of genomic loci with an improved CRISPR system based on a split fluorophore']	['Genome Research']	['30']	['(9)']	[',\npp.\n1306-1316\n']	['2020']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Application of Aptamers Improves CRISPR-Based Live Imaging of Plant Telomeres']	['Frontiers in Plant Science']	['11']	[',1254']	[]	['2020']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Anti-CRISPR protein applications: natural brakes for CRISPR-Cas technologies']	['Nature Methods']	['17']	['(5)']	[',\npp.\n471-479\n']	['2020']	['\n8\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Application and prospects of CRISPR/Cas9-based methods to trace defined genomic sequences in living and fixed plant cells']	['Chromosome Research']	['28']	['(1)']	[',\npp.\n7-17\n']	['2020']	['\n3\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Direct and simultaneous observation of transcription and chromosome architecture in single cells with Hi-M']	['Nature Protocols']	['15']	['(3)']	[',\npp.\n840-876\n']	['2020']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Recent advances in CRISPR research']	['Protein and Cell']	[]	[]	[]	['2020']	['\n1\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Advances in CRISPR/Cas-based Gene Therapy in Human Genetic Diseases']	['Theranostics']	['10']	['(10)']	[',\npp.\n4374-4382\n']	['2020']	['\n2\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Beyond classic editing: Innovative CRISPR approaches for functional studies of long non-coding RNA']	[]	['4']	['(1)']	[',bpz017']	['2019']	['\n1\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Advancing CRISPR-Based Programmable Platforms beyond Genome Editing in Mammalian Cells']	['ACS Synthetic Biology']	['8']	['(12)']	[',\npp.\n2607-2619\n']	['2019']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['CRISPR-Cas12a Nucleases Bind Flexible DNA Duplexes without RNA/DNA Complementarity']	['ACS Omega']	['4']	['(17)']	[',\npp.\n17140-17147\n']	['2019']	['\n1\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Applications of CRISPR/Cas9 tools in deciphering the mechanisms of HIV-1 persistence']	['Current Opinion in Virology']	['38']	[',\npp.\n63-69\n']	[]	['2019']	[]
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['The role of 3D genome organization in development and cell differentiation']	['Nature Reviews Molecular Cell Biology']	['20']	['(9)']	[',\npp.\n535-550\n']	['2019']	['\n41\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Systematical study of the mechanistic factors regulating genome dynamics in vivo by CRISPRsie']	['Journal of Molecular Cell Biology']	['11']	['(11)']	[',\npp.\n1018-1020\n']	['2019']	['\n1\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Rational designs of in vivo CRISPR-Cas delivery systems']	['Advanced Drug Delivery Reviews']	[]	[]	[]	['2019']	['\n12\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Inulin alleviates hypersaline-stress induced oxidative stress and dysbiosis of gut microbiota in Nile tilapia (Oreochromis niloticus)']	['Aquaculture']	['529']	[',735681']	[]	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Xyloglucan compounded inulin or arabinoxylan against glycometabolism disorder via different metabolic pathways: Gut microbiota and bile acid receptor effects']	['Journal of Functional Foods']	['74']	[',104162']	[]	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	["Dcf1 deletion presents alterations in gut microbiota of mice similar to Parkinson's disease"]	['Biochemical and Biophysical Research Communications']	['529']	['(4)']	[',\npp.\n1137-1144\n']	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Effects of dietary fibres on gut microbial metabolites and liver lipid metabolism in growing pigs']	['Journal of Animal Physiology and Animal Nutrition']	['104']	['(5)']	[',\npp.\n1484-1493\n']	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Characterization of chemical composition and prebiotic effect of a dietary medicinal plant Penthorum chinense Pursh']	['Food Chemistry']	['319']	[',126568']	[]	['2020']	['\n2\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['IL-37 Ameliorating Allergic Inflammation in Atopic Dermatitis Through Regulating Microbiota and AMPK-mTOR Signaling Pathway-Modulated Autophagy Mechanism']	['Frontiers in Immunology']	['11']	[',752']	[]	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Dynamic alterations in early intestinal development, microbiota and metabolome induced by in ovo feeding of L-arginine in a layer chick model']	['Journal of Animal Science and Biotechnology']	['11']	['(1)']	[',19']	['2020']	['\n1\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Effects of resistant dextrin on liver fat deposition and the AMPK signaling pathway in high-fat diet-fed mice | [抗性糊精对高脂饮食诱导的小鼠肝脏脂肪沉积及AMPK通路的影响]']	[]	['36']	['(2)']	[',\npp.\n139-144\n']	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Alteration of Intestinal Microbiota in 3-Deoxyglucosone-Induced Prediabetic Rats']	['BioMed Research International']	['2020']	[',8406846']	[]	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Oligosaccharides from: Gracilaria lemaneiformis better attenuated high fat diet-induced metabolic syndrome by promoting the Bacteroidales proliferation']	['Food and Function']	['11']	['(1)']	[',\npp.\n1049-1062\n']	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Chitosan attenuates obesity by modifying the intestinal microbiota and increasing serum leptin levels in mice']	['Journal of Functional Foods']	['64']	[',103659']	[]	['2020']	['\n2\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Membrane disruption of Fusarium oxysporum f. sp. niveum induced by myriocin from Bacillus amyloliquefaciens LZN01']	['Microbial Biotechnology']	[]	[]	[]	['2020']	[]
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Effects of phytochemicals on cellular signaling: reviewing their recent usage approaches']	['Critical Reviews in Food Science and Nutrition']	[]	[]	[]	['2019']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['A Hybrid CNN-Based Segmentation and Boosting Classifier for Real Time Sensor Spinal Cord Injury Data']	['IEEE Sensors Journal']	['20']	['(17)']	[',9087892']	['2020']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Evaluating the Use of Circulating MicroRNA Profiles for Lung Cancer Detection in Symptomatic Patients']	['JAMA Oncology']	['6']	['(5)']	[',\npp.\n714-723\n']	['2020']	['\n4\n']
